b'id',b'key',b'value',b'type'
21631373,b'created_by',b'JOSM',b'regular'
21631374,b'created_by',b'JOSM',b'regular'
21631375,b'created_by',b'JOSM',b'regular'
21631376,b'highway',b'motorway_junction',b'regular'
21631376,b'name',b'M32 Spine Rd',b'regular'
21631376,b'ref',b'13',b'regular'
21631377,b'created_by',b'JOSM',b'regular'
21631378,b'created_by',b'JOSM',b'regular'
21631379,b'created_by',b'JOSM',b'regular'
21631380,b'created_by',b'JOSM',b'regular'
21631382,b'created_by',b'JOSM',b'regular'
21631383,b'created_by',b'JOSM',b'regular'
21631384,b'created_by',b'JOSM',b'regular'
21631385,b'created_by',b'JOSM',b'regular'
21631386,b'created_by',b'JOSM',b'regular'
21631387,b'created_by',b'JOSM',b'regular'
21631388,b'created_by',b'JOSM',b'regular'
21631389,b'created_by',b'JOSM',b'regular'
21631390,b'created_by',b'JOSM',b'regular'
21631391,b'created_by',b'JOSM',b'regular'
21631395,b'created_by',b'JOSM',b'regular'
21631396,b'created_by',b'JOSM',b'regular'
21631398,b'created_by',b'JOSM',b'regular'
21631399,b'created_by',b'JOSM',b'regular'
21631400,b'created_by',b'JOSM',b'regular'
21631401,b'created_by',b'JOSM',b'regular'
21631404,b'highway',b'motorway_junction',b'regular'
21631404,b'name',b'Ridge Rd',b'regular'
21631404,b'ref',b'3',b'regular'
21631405,b'created_by',b'JOSM',b'regular'
21631406,b'created_by',b'JOSM',b'regular'
21631410,b'highway',b'motorway_junction',b'regular'
21631410,b'name',b'North Coast',b'regular'
21631410,b'ref',b'1',b'regular'
26608635,b'abandoned',b'yes',b'regular'
26608635,b'type',b'public',b'aerodrome'
26608635,b'aeroway',b'aerodrome',b'regular'
26608635,b'ele',b'9',b'regular'
26608635,b'is_in',"b'Durban,,South Africa'",b'regular'
26608635,b'name',b'Old Durban International Airport',b'regular'
26608635,b'en',b'Durban International Airport',b'name'
26608635,b'old_iata',b'DUR',b'regular'
26608635,b'old_icao',b'FADN',b'regular'
26608635,b'operator',b'Airports Company South Africa',b'regular'
26608635,b'source',b'wikipedia',b'regular'
26608635,b'wikidata',b'Q1266839',b'regular'
26608635,b'wikipedia',b'en:Durban International Airport',b'regular'
27564996,b'continent',b'Africa',b'is_in'
27564996,b'country',b'South Africa',b'is_in'
27564996,b'name',b'Durban',b'regular'
27564996,b'af',b'Durban',b'name'
27564996,b'ar',b'\xd8\xaf\xd9\x8a\xd8\xb1\xd8\xa8\xd8\xa7\xd9\x86',b'name'
27564996,b'ckb',b'\xd8\xaf\xd9\x88\xd8\xb1\xd8\xa8\xd8\xa7\xd9\x86',b'name'
27564996,b'hi',b'\xe0\xa4\xa1\xe0\xa4\xb0\xe0\xa4\xac\xe0\xa4\xa8',b'name'
27564996,b'kn',b'\xe0\xb2\xa1\xe0\xb2\xb0\xe0\xb3\x8d\xe0\xb2\xac\xe0\xb2\xa8\xe0\xb3\x8d',b'name'
27564996,b'mr',b'\xe0\xa4\xa1\xe0\xa4\xb0\xe0\xa4\xac\xe0\xa4\xa8',b'name'
27564996,b'ru',b'\xd0\x94\xd1\x83\xd1\x80\xd0\xb1\xd0\xb0\xd0\xbd',b'name'
27564996,b'sr',b'\xd0\x94\xd1\x83\xd1\x80\xd0\xb1\xd0\xb0\xd0\xbd',b'name'
27564996,b'te',b'\xe0\xb0\xa1\xe0\xb0\xb0\xe0\xb1\x8d\xe0\xb0\xac\xe0\xb0\xa8\xe0\xb1\x8d',b'name'
27564996,b'zu',b'eThekwini',b'name'
27564996,b'place',b'city',b'regular'
27564996,b'population',b'3460000',b'regular'
27564996,b'sagns_id',b'88104',b'regular'
27564996,b'source',b'sagns',b'regular'
27564996,b'wikidata',b'Q5468',b'regular'
27564996,b'wikipedia',b'en:Durban',b'regular'
54981702,b'highway',b'motorway_junction',b'regular'
54981702,b'name',b'Richmond Rd',b'regular'
54981702,b'ref',b'23',b'regular'
54982436,b'created_by',b'JOSM',b'regular'
54982459,b'created_by',b'JOSM',b'regular'
54982562,b'created_by',b'JOSM',b'regular'
54982768,b'created_by',b'JOSM',b'regular'
54982778,b'created_by',b'JOSM',b'regular'
54982795,b'created_by',b'JOSM',b'regular'
54982815,b'created_by',b'JOSM',b'regular'
54982823,b'created_by',b'JOSM',b'regular'
54982887,b'created_by',b'JOSM',b'regular'
54982951,b'created_by',b'JOSM',b'regular'
54983048,b'created_by',b'JOSM',b'regular'
54983065,b'created_by',b'JOSM',b'regular'
55097055,b'created_by',b'JOSM',b'regular'
60177742,b'created_by',b'JOSM',b'regular'
60177743,b'created_by',b'JOSM',b'regular'
60177745,b'created_by',b'JOSM',b'regular'
60177752,b'maxspeed',b'120',b'regular'
60177752,b'maxspeed',b'sign',b'source'
60177753,b'barrier',b'toll_booth',b'regular'
60177753,b'name',b'Mariannhill',b'regular'
60177753,b'operator',b'SANRAL',b'regular'
60177757,b'exit_to',b'Pinetown',b'regular'
60177757,b'highway',b'motorway_junction',b'regular'
60177757,b'name',b'Stockville Rd',b'regular'
60177757,b'ref',b'26',b'regular'
60177758,b'created_by',b'JOSM',b'regular'
60177829,b'created_by',b'JOSM',b'regular'
60177830,b'highway',b'motorway_junction',b'regular'
60177830,b'name',b'E.B. Cloete Interchange',b'regular'
60177830,b'ref',b'165',b'regular'
60177831,b'created_by',b'JOSM',b'regular'
60177832,b'created_by',b'JOSM',b'regular'
60177833,b'created_by',b'JOSM',b'regular'
60177834,b'highway',b'motorway_junction',b'regular'
60177834,b'name',b'E.B. Cloete Interchange',b'regular'
60177834,b'ref',b'165',b'regular'
60177836,b'created_by',b'JOSM',b'regular'
60177837,b'created_by',b'JOSM',b'regular'
60177838,b'created_by',b'JOSM',b'regular'
60177839,b'created_by',b'JOSM',b'regular'
60177840,b'created_by',b'JOSM',b'regular'
60177841,b'created_by',b'JOSM',b'regular'
60177847,b'created_by',b'JOSM',b'regular'
60178002,b'created_by',b'JOSM',b'regular'
60178011,b'created_by',b'JOSM',b'regular'
60178013,b'created_by',b'JOSM',b'regular'
60178016,b'created_by',b'JOSM',b'regular'
60178017,b'created_by',b'JOSM',b'regular'
60178018,b'created_by',b'JOSM',b'regular'
60178019,b'created_by',b'JOSM',b'regular'
60178020,b'highway',b'motorway_junction',b'regular'
60178020,b'name',b'M13 Jan Smuts Highway',b'regular'
60178020,b'ref',b'5',b'regular'
60178021,b'created_by',b'JOSM',b'regular'
60178022,b'created_by',b'JOSM',b'regular'
60178072,b'highway',b'motorway_junction',b'regular'
60178072,b'name',b'M10 Brickfield Rd',b'regular'
60178072,b'ref',b'4',b'regular'
60178075,b'created_by',b'JOSM',b'regular'
60178079,b'created_by',b'JOSM',b'regular'
60178081,b'created_by',b'JOSM',b'regular'
60178082,b'created_by',b'JOSM',b'regular'
60178085,b'created_by',b'JOSM',b'regular'
60178086,b'created_by',b'JOSM',b'regular'
60178087,b'created_by',b'JOSM',b'regular'
60178088,b'created_by',b'JOSM',b'regular'
60178089,b'created_by',b'JOSM',b'regular'
60178090,b'created_by',b'JOSM',b'regular'
60178092,b'highway',b'motorway_junction',b'regular'
60178092,b'name',b'M32 Spine Rd',b'regular'
60178092,b'ref',b'13',b'regular'
60178093,b'created_by',b'JOSM',b'regular'
60178094,b'created_by',b'JOSM',b'regular'
60178095,b'created_by',b'JOSM',b'regular'
60178096,b'created_by',b'JOSM',b'regular'
60178097,b'created_by',b'JOSM',b'regular'
60178098,b'created_by',b'JOSM',b'regular'
60178099,b'created_by',b'JOSM',b'regular'
60178100,b'created_by',b'JOSM',b'regular'
60178101,b'created_by',b'JOSM',b'regular'
60178102,b'created_by',b'JOSM',b'regular'
60178103,b'created_by',b'JOSM',b'regular'
60178104,b'created_by',b'JOSM',b'regular'
60178105,b'created_by',b'JOSM',b'regular'
60178111,b'created_by',b'JOSM',b'regular'
60178118,b'created_by',b'JOSM',b'regular'
60178120,b'created_by',b'JOSM',b'regular'
60178125,b'created_by',b'JOSM',b'regular'
60178126,b'created_by',b'JOSM',b'regular'
60178139,b'created_by',b'JOSM',b'regular'
60178143,b'highway',b'motorway_junction',b'regular'
60178143,b'name',b'Richmond Rd',b'regular'
60178143,b'ref',b'23',b'regular'
119977884,b'highway',b'traffic_signals',b'regular'
190390251,b'created_by',b'JOSM',b'regular'
190390280,b'created_by',b'JOSM',b'regular'
190390307,b'created_by',b'JOSM',b'regular'
190390883,b'highway',b'motorway_junction',b'regular'
190390883,b'ref',b'22',b'regular'
190391177,b'highway',b'motorway_junction',b'regular'
190391177,b'ref',b'24',b'regular'
190391279,b'highway',b'motorway_junction',b'regular'
190391279,b'ref',b'26',b'regular'
190391557,b'created_by',b'JOSM',b'regular'
190391584,b'created_by',b'JOSM',b'regular'
190391615,b'created_by',b'JOSM',b'regular'
190391637,b'created_by',b'JOSM',b'regular'
190391642,b'created_by',b'JOSM',b'regular'
190391643,b'created_by',b'JOSM',b'regular'
190391644,b'created_by',b'JOSM',b'regular'
190391661,b'created_by',b'JOSM',b'regular'
190391691,b'created_by',b'JOSM',b'regular'
190391720,b'created_by',b'JOSM',b'regular'
190391746,b'created_by',b'JOSM',b'regular'
190391766,b'created_by',b'JOSM',b'regular'
190391793,b'highway',b'motorway_junction',b'regular'
190391793,b'name',b'E.B. Cloete Interchange',b'regular'
190391793,b'ref',b'165',b'regular'
190391850,b'created_by',b'JOSM',b'regular'
190391876,b'created_by',b'JOSM',b'regular'
190391900,b'created_by',b'JOSM',b'regular'
190391927,b'created_by',b'JOSM',b'regular'
190391958,b'created_by',b'JOSM',b'regular'
190392029,b'highway',b'motorway_junction',b'regular'
190392029,b'name',b'E.B. Cloete Interchange',b'regular'
190392029,b'ref',b'165',b'regular'
190392209,b'created_by',b'JOSM',b'regular'
190392241,b'created_by',b'JOSM',b'regular'
190392261,b'created_by',b'JOSM',b'regular'
190392347,b'created_by',b'JOSM',b'regular'
190392374,b'created_by',b'JOSM',b'regular'
190392386,b'created_by',b'JOSM',b'regular'
190392387,b'created_by',b'JOSM',b'regular'
190392388,b'created_by',b'JOSM',b'regular'
190392394,b'created_by',b'JOSM',b'regular'
190392414,b'created_by',b'JOSM',b'regular'
190392444,b'created_by',b'JOSM',b'regular'
190392473,b'created_by',b'JOSM',b'regular'
190392496,b'created_by',b'JOSM',b'regular'
190392522,b'created_by',b'JOSM',b'regular'
190392541,b'created_by',b'JOSM',b'regular'
190392576,b'created_by',b'JOSM',b'regular'
190392577,b'created_by',b'JOSM',b'regular'
190392616,b'created_by',b'JOSM',b'regular'
190392648,b'created_by',b'JOSM',b'regular'
190392672,b'created_by',b'JOSM',b'regular'
190392694,b'created_by',b'JOSM',b'regular'
190392719,b'created_by',b'JOSM',b'regular'
190392740,b'created_by',b'JOSM',b'regular'
190392754,b'created_by',b'JOSM',b'regular'
190392765,b'created_by',b'JOSM',b'regular'
190392784,b'created_by',b'JOSM',b'regular'
