b'id',b'key',b'value',b'type'
b'19966443',b'highway',b'footway',b'regular'
b'19966443',b'layer',b'1',b'regular'
b'19966448',b'bridge',b'yes',b'regular'
b'19966448',b'highway',b'residential',b'regular'
b'19966448',b'layer',b'1',b'regular'
b'19966448',b'name',b'Everton Road',b'regular'
b'19966450',b'bridge',b'yes',b'regular'
b'19966450',b'highway',b'footway',b'regular'
b'19966450',b'layer',b'1',b'regular'
b'19969643',b'amenity',b'school',b'regular'
b'19969643',b'name',b'Kloof High School',b'regular'
b'19969643',b'source',b'yimg',b'regular'
b'19969646',b'amenity',b'school',b'regular'
b'19969646',b'name',b'Kloof Senior Primary',b'regular'
b'19969646',b'source',b'yimg',b'regular'
b'19969648',b'created_by',b'JOSM',b'regular'
b'19969648',b'highway',b'service',b'regular'
b'19969648',b'source',b'yimg',b'regular'
b'19969650',b'amenity',b'school',b'regular'
b'19969650',b'name',b'Kloof Senior Primary',b'regular'
b'19969651',b'amenity',b'school',b'regular'
b'19969651',b'name',b'Kloof Junior Primary',b'regular'
b'19969659',b'amenity',b'school',b'regular'
b'19969659',b'name',b'St Marys DSG',b'regular'
b'19969659',b'source',b'yahoo_imagery',b'regular'
b'19970946',b'leisure',b'park',b'regular'
b'19970946',b'name',b'Memorial Park',b'regular'
b'19970951',b'highway',b'service',b'regular'
b'19982362',b'leisure',b'golf_course',b'regular'
b'19982362',b'name',b'Kloof Country Club',b'regular'
b'19982364',b'leisure',b'pitch',b'regular'
b'19982364',b'sport',b'cricket',b'regular'
b'19982366',b'leisure',b'pitch',b'regular'
b'19982366',b'sport',b'tennis',b'regular'
b'19982368',b'leisure',b'pitch',b'regular'
b'19982368',b'sport',b'bowls',b'regular'
b'19984068',b'leisure',b'track',b'regular'
b'19984068',b'lit',b'yes',b'regular'
b'19984068',b'sport',b'horse_racing',b'regular'
b'19984068',b'surface',b'dirt',b'regular'
b'19984072',b'leisure',b'golf_course',b'regular'
b'19984072',b'name',b'Royal Durban Golf Course',b'regular'
b'19984072',b'sport',b'golf',b'regular'
b'19984072',b'surface',b'grass',b'regular'
b'20099531',b'created_by',b'JOSM',b'regular'
b'20099531',b'highway',b'residential',b'regular'
b'20099531',b'name',b'Millar Lane',b'regular'
b'20099534',b'highway',b'residential',b'regular'
b'20099534',b'name',b'Jan Smuts Avenue',b'regular'
b'20573510',b'highway',b'residential',b'regular'
b'20573510',b'name',b'Vause Road',b'regular'
b'20573510',b'oneway',b'yes',b'regular'
b'20573523',b'amenity',b'school',b'regular'
b'20573523',b'name',b'Durban High School',b'regular'
b'20573591',b'highway',b'residential',b'regular'
b'20573591',b'name',b'Vause Road',b'regular'
b'20573591',b'oneway',b'yes',b'regular'
b'20573602',b'highway',b'footway',b'regular'
b'20573606',b'highway',b'footway',b'regular'
b'20573609',b'highway',b'footway',b'regular'
b'20573611',b'highway',b'footway',b'regular'
b'20573614',b'highway',b'footway',b'regular'
b'20573614',b'name',b'Main Walk',b'regular'
b'20573616',b'created_by',b'JOSM',b'regular'
b'20573616',b'highway',b'footway',b'regular'
b'20573616',b'name',b'Carriage Drive',b'regular'
b'20573620',b'highway',b'footway',b'regular'
b'20573632',b'highway',b'footway',b'regular'
b'20573637',b'leisure',b'park',b'regular'
b'20573637',b'name',b'Durban Botanic Gardens',b'regular'
b'20573637',b'wikipedia',b'en:Durban Botanic Gardens',b'regular'
b'20583391',b'highway',b'footway',b'regular'
b'20583394',b'created_by',b'JOSM',b'regular'
b'20583394',b'highway',b'footway',b'regular'
b'20583398',b'created_by',b'JOSM',b'regular'
b'20583398',b'highway',b'footway',b'regular'
b'20583398',b'name',b'Palm Walk',b'regular'
b'20583401',b'highway',b'footway',b'regular'
b'20583402',b'highway',b'footway',b'regular'
b'20583404',b'highway',b'footway',b'regular'
b'20961194',b'amenity',b'school',b'regular'
b'20961194',b'name',b'Lyndhurst Primary School',b'regular'
b'20961219',b'leisure',b'pitch',b'regular'
b'20961219',b'sport',b'baseball',b'regular'
b'20961223',b'leisure',b'pitch',b'regular'
b'20961223',b'sport',b'cricket',b'regular'
b'20961223',b'surface',b'grass',b'regular'
b'20961227',b'leisure',b'pitch',b'regular'
b'20961227',b'sport',b'tennis',b'regular'
b'20961231',b'leisure',b'pitch',b'regular'
b'20961231',b'sport',b'tennis',b'regular'
b'20961234',b'leisure',b'pitch',b'regular'
b'20961234',b'sport',b'bowls',b'regular'
b'20961234',b'surface',b'grass',b'regular'
b'20961237',b'leisure',b'swimming_pool',b'regular'
b'20961237',b'sport',b'swimming',b'regular'
b'20961940',b'created_by',b'JOSM',b'regular'
b'20961940',b'highway',b'service',b'regular'
b'23168616',b'natural',b'coastline',b'regular'
b'23168633',b'natural',b'coastline',b'regular'
b'23626029',b'highway',b'primary',b'regular'
b'23626029',b'lanes',b'2',b'regular'
b'23626029',b'oneway',b'yes',b'regular'
b'23626029',b'ref',b'M19',b'regular'
b'23626029',b'surface',b'paved',b'regular'
b'24822153',b'highway',b'tertiary',b'regular'
b'24822153',b'name',b'Campbell Road',b'regular'
b'24822153',b'oneway',b'yes',b'regular'
b'24822363',b'access',b'private',b'regular'
b'24822363',b'highway',b'service',b'regular'
b'24822363',b'name',b'Glamis Gardens',b'regular'
b'24822363',b'noexit',b'yes',b'regular'
b'24822364',b'access',b'private',b'regular'
b'24822364',b'highway',b'service',b'regular'
b'24822364',b'name',b'Glamis Gardens',b'regular'
b'24822364',b'noexit',b'yes',b'regular'
b'24825162',b'highway',b'tertiary',b'regular'
b'24825162',b'name',b'Che Guevara Road',b'regular'
b'24825162',b'old_name',b'Moore Road',b'regular'
b'24825162',b'surface',b'paved',b'regular'
b'24825163',b'highway',b'tertiary',b'regular'
b'24825163',b'name',b'Moore Road',b'regular'
b'24825163',b'oneway',b'yes',b'regular'
b'24825257',b'highway',b'motorway_link',b'regular'
b'24825257',b'oneway',b'yes',b'regular'
b'24825257',b'ref',b'N3',b'regular'
b'24825433',b'building',b'yes',b'regular'
b'24825433',b'man_made',b'pier',b'regular'
b'24825444',b'building',b'yes',b'regular'
b'24825444',b'man_made',b'pier',b'regular'
b'24825445',b'building',b'yes',b'regular'
b'24825445',b'man_made',b'pier',b'regular'
b'24839570',b'amenity',b'school',b'regular'
b'24839570',b'name',b'New Germany Primary',b'regular'
b'24840289',b'highway',b'secondary',b'regular'
b'24840289',b'oneway',b'yes',b'regular'
b'24840289',b'ref',b'39',b'regular'
b'24840290',b'highway',b'secondary',b'regular'
b'24840290',b'oneway',b'yes',b'regular'
b'24840290',b'ref',b'39',b'regular'
b'24840294',b'highway',b'tertiary',b'regular'
b'24840294',b'oneway',b'yes',b'regular'
b'24840295',b'highway',b'tertiary',b'regular'
b'24840295',b'oneway',b'yes',b'regular'
b'24841665',b'highway',b'motorway',b'regular'
b'24841665',b'lanes',b'2',b'regular'
b'24841665',b'oneway',b'yes',b'regular'
b'24841665',b'ref',b'M19',b'regular'
b'24841666',b'bridge',b'yes',b'regular'
b'24841666',b'highway',b'motorway',b'regular'
b'24841666',b'lanes',b'2',b'regular'
b'24841666',b'layer',b'1',b'regular'
b'24841666',b'oneway',b'yes',b'regular'
b'24841666',b'ref',b'M19',b'regular'
b'24841666',b'surface',b'paved',b'regular'
b'24841670',b'highway',b'motorway_link',b'regular'
b'24841670',b'oneway',b'yes',b'regular'
b'24841671',b'highway',b'motorway_link',b'regular'
